playerID,full_name,pos,era_label,ovr,rarity_3y,contact_val_3y,power_val_3y,speed_val_3y,eye_val_3y,defense_val_3y,ovr_7y,rarity_7y,contact_val_7y,power_val_7y,speed_val_7y,eye_val_7y,defense_val_7y,ovr_diff,con_diff,pow_diff,spd_diff,eye_diff,def_diff
adamsgl01,Glenn Adams,CF,Big Hair Era (1977-1993),64.7,Uncommon,65.4,44.5,17.4,32.7,26.4,63.6,Uncommon,59.2,35.3,12.3,22.0,28.9,1.1000000000000014,6.200000000000003,9.200000000000003,5.099999999999998,10.700000000000003,-2.5
aikenwi01,Willie Aikens,1B,Big Hair Era (1977-1993),71.2,Rare,44.1,78.0,5.0,74.2,34.3,69.6,Uncommon,48.8,65.3,1.0,62.0,28.6,1.6000000000000085,-4.699999999999996,12.700000000000003,4.0,12.200000000000003,5.699999999999996
aldremi01,Mike Aldrete,CF,Big Hair Era (1977-1993),70.4,Rare,45.4,50.9,34.2,63.7,50.2,63.9,Uncommon,42.8,26.2,24.9,75.4,47.6,6.500000000000007,2.6000000000000014,24.7,9.300000000000004,-11.700000000000003,2.6000000000000014
almonbi01,Bill Almon,SS,Big Hair Era (1977-1993),58.6,Common,35.8,17.7,60.6,23.3,38.3,57.9,Common,34.5,15.5,59.5,27.3,37.9,0.7000000000000028,1.2999999999999972,2.1999999999999993,1.1000000000000014,-4.0,0.3999999999999986
anderda02,Dave Anderson,SS,Big Hair Era (1977-1993),58.8,Common,25.9,21.6,46.6,47.6,45.1,56.5,Common,17.4,8.4,40.8,50.8,47.4,2.299999999999997,8.5,13.200000000000001,5.800000000000004,-3.1999999999999957,-2.299999999999997
anthoer01,Eric Anthony,CF,Big Hair Era (1977-1993),57.7,Common,8.9,52.9,25.6,44.0,30.6,58.1,Common,9.7,56.8,25.8,51.4,28.6,-0.3999999999999986,-0.7999999999999989,-3.8999999999999986,-0.1999999999999993,-7.399999999999999,2.0
armasto01,Tony Armas,CF,Big Hair Era (1977-1993),71.5,Rare,32.2,88.1,35.5,6.9,80.4,68.1,Uncommon,34.4,83.2,22.1,8.9,71.8,3.4000000000000057,-2.1999999999999957,4.8999999999999915,13.399999999999999,-2.0,8.600000000000009
ashbyal01,Alan Ashby,C,Big Hair Era (1977-1993),64.6,Uncommon,35.2,52.1,14.9,51.1,57.7,64.2,Uncommon,36.7,42.5,7.0,55.1,52.8,0.3999999999999915,-1.5,9.600000000000001,7.9,-4.0,4.900000000000006
backmwa01,Wally Backman,2B,Big Hair Era (1977-1993),62.6,Uncommon,55.2,6.1,55.4,41.6,48.5,62.2,Uncommon,55.9,2.8,54.7,53.5,43.1,0.3999999999999986,-0.6999999999999957,3.3,0.6999999999999957,-11.899999999999999,5.399999999999999
baergca01,Carlos Baerga,2B,Big Hair Era (1977-1993),73.5,Rare,78.3,44.2,57.8,13.1,51.6,74.6,Rare,80.1,46.0,44.9,12.9,48.5,-1.0999999999999943,-1.7999999999999972,-1.7999999999999972,12.899999999999999,0.1999999999999993,3.1000000000000014
bailobo01,Bob Bailor,CF,Big Hair Era (1977-1993),59.2,Common,44.2,7.1,61.4,10.4,61.9,61.1,Uncommon,46.2,1.3,56.7,11.7,61.4,-1.8999999999999986,-2.0,5.8,4.699999999999996,-1.299999999999999,0.5
baineha01,Harold Baines,CF,Big Hair Era (1977-1993),74.9,Rare,63.8,70.6,15.2,56.6,48.7,78.9,Rare,74.1,69.3,25.6,52.6,44.6,-4.0,-10.299999999999997,1.2999999999999972,-10.400000000000002,4.0,4.100000000000001
bakerdu01,Dusty Baker,CF,Big Hair Era (1977-1993),76.0,Rare,64.9,62.1,47.9,38.1,57.2,80.6,Epic,69.4,63.6,46.2,41.0,56.6,-4.599999999999994,-4.5,-1.5,1.6999999999999957,-2.8999999999999986,0.6000000000000014
balbost01,Steve Balboni,1B,Big Hair Era (1977-1993),59.3,Common,1.4,88.3,11.7,38.7,35.3,59.2,Common,11.1,88.5,1.0,33.3,25.9,0.09999999999999432,-9.7,-0.20000000000000284,10.7,5.400000000000006,9.399999999999999
bannial01,Alan Bannister,CF,Big Hair Era (1977-1993),59.1,Common,38.1,12.6,65.4,44.0,25.7,60.6,Uncommon,46.2,13.1,64.9,42.5,12.0,-1.5,-8.100000000000001,-0.5,0.5,1.5,13.7
barfije01,Jesse Barfield,CF,Big Hair Era (1977-1993),83.8,Epic,38.1,93.5,49.4,68.8,98.8,77.2,Rare,37.0,86.0,38.5,59.5,105.5,6.599999999999994,1.1000000000000014,7.5,10.899999999999999,9.299999999999997,-6.700000000000003
